Test Accuracy,Test Precision,Test Recall,Test F1 Score,Number of Parameters
0.9223,0.9215040712566728,0.9211239662291714,0.9211227436542389,7850
0.976,0.976080863344485,0.9759154251183233,0.9759491258853414,2740
0.9911,0.991101829983597,0.9909550271003417,0.9910071770187981,157030
0.9952,0.995237504127723,0.9950971237315798,0.9951640136014801,887530
0.9846,0.984695904375274,0.9843465702456552,0.9844906478479067,163726
0.9798,0.9797301406056569,0.9797462161214675,0.979717240524425,37030
0.9869,0.986940800757516,0.9867266342199423,0.9868184214521705,94650
